id,x,y,z
179,-0.611576,2.013030,1.269951
180,-0.878833,2.013030,1.102022
181,-1.102022,2.013030,0.878833
182,-1.269951,2.013030,0.611576
183,-1.374199,2.013030,0.313652
184,-1.409539,2.013030,0.000000
185,-1.374199,2.013030,-0.313652
186,-1.269951,2.013030,-0.611576
187,-1.102022,2.013030,-0.878833
188,-0.878833,2.013030,-1.102022
189,-0.611576,2.013030,-1.269951
190,-0.313652,2.013030,-1.374199
191,-0.000000,2.013030,-1.409539
192,0.313652,2.013030,-1.374199
193,0.611576,2.013030,-1.269951
194,0.878833,2.013030,-1.102022
195,1.102022,2.013030,-0.878833
196,1.269951,2.013030,-0.611576
197,1.374199,2.013030,-0.313652
198,1.477212,1.760472,0.000000
199,1.440175,1.760472,0.328711
200,1.330922,1.760472,0.640938
201,1.154931,1.760472,0.921026
202,0.921026,1.760472,1.154931
203,0.640938,1.760472,1.330922
204,0.328711,1.760472,1.440175
205,0.000000,1.760472,1.477212
206,-0.328711,1.760472,1.440175
207,-0.640938,1.760472,1.330922
208,-0.921026,1.760472,1.154931
209,-1.154931,1.760472,0.921026
210,-1.330922,1.760472,0.640938
211,-1.440175,1.760472,0.328711
212,-1.477212,1.760472,0.000000
213,-1.440175,1.760472,-0.328711
214,-1.330922,1.760472,-0.640938
215,-1.154931,1.760472,-0.921026
216,-0.921026,1.760472,-1.154931
217,-0.640938,1.760472,-1.330922
218,-0.328711,1.760472,-1.440175
219,-0.000000,1.760472,-1.477212
220,0.328711,1.760472,-1.440175
221,0.640938,1.760472,-1.330922
222,0.921026,1.760472,-1.154931
223,1.154931,1.760472,-0.921026
224,1.330922,1.760472,-0.640938
225,1.440175,1.760472,-0.328711
226,1.500000,1.500000,0.000000
227,1.462392,1.500000,0.333781
228,1.351453,1.500000,0.650826
229,1.172747,1.500000,0.935235
230,0.935235,1.500000,1.172747
231,0.650826,1.500000,1.351453
232,0.333781,1.500000,1.462392
233,0.000000,1.500000,1.500000
234,-0.333781,1.500000,1.462392
235,-0.650826,1.500000,1.351453
236,-0.935235,1.500000,1.172747
237,-1.172747,1.500000,0.935235
238,-1.351453,1.500000,0.650826
239,-1.462392,1.500000,0.333781
240,-1.500000,1.500000,0.000000
241,-1.462392,1.500000,-0.333781
242,-1.351453,1.500000,-0.650826
243,-1.172747,1.500000,-0.935235
244,-0.935235,1.500000,-1.172747
245,-0.650826,1.500000,-1.351453
246,-0.333781,1.500000,-1.462392
247,-0.000000,1.500000,-1.500000
248,0.333781,1.500000,-1.462392
249,0.650826,1.500000,-1.351453
250,0.935235,1.500000,-1.172747
251,1.172747,1.500000,-0.935235
252,1.351453,1.500000,-0.650826
253,1.462392,1.500000,-0.333781
254,1.477212,1.239528,0.000000
255,1.440175,1.239528,0.328711
256,1.330922,1.239528,0.640938
257,1.154931,1.239528,0.921026
