x,y,z,id
-2.29437,2.016497,-0.081,1
-2.29437,2.016497,0.081,1
-2.29428,0.864595,0.189,1
-2.29428,0.864595,-0.189,1
-2.2896,2.0106,0,1
-2.2896,2.0106,0,1
-2.28917,0.898214,0.216,1
-2.28917,0.898214,-0.216,1
-2.2836,0.9348,0.225,1
-2.2836,0.9348,-0.225,1
-2.27804,0.971386,0.216,1
-2.27804,0.971386,-0.216,1
-2.27292,1.005005,0.189,1
-2.27292,1.005005,-0.189,1
-2.26871,1.032691,-0.144,1
-2.26871,1.032691,0.144,1
-2.26585,1.051478,0.081,1
-2.26585,1.051478,-0.081,1
-2.265,2.23785,0,1
-2.2648,1.0584,0,1
-2.2648,1.0584,0,1
-2.26168,2.23172,-0.081,1
-2.26168,2.23172,0.081,1
-2.25266,2.215082,-0.144,1
-2.25266,2.215082,0.144,1
-2.23936,2.190562,-0.189,1
-2.23936,2.190562,0.189,1
-2.22322,2.160788,-0.216,1
-2.22322,2.160788,0.216,1
-2.20565,2.128387,0.225,1
-2.20565,2.128388,-0.225,1
-2.18808,2.095987,-0.216,1
-2.18808,2.095987,0.216,1
-2.17194,2.066213,-0.189,1
-2.17194,2.066213,0.189,1
-2.15865,2.041693,-0.144,1
-2.15865,2.041693,0.144,1
-2.14962,2.025055,-0.081,1
-2.14962,2.025055,0.081,1
-2.1463,2.018925,0,1
-2.1411,0.9738,0,1
-2.1411,0.9738,0,1
-2.14032,0.966231,0.081,1
-2.14032,0.966231,-0.081,1
-2.13818,0.945685,0.144,1
-2.13818,0.945685,-0.144,1
-2.13504,0.915407,0.189,1
-2.13504,0.915407,-0.189,1
-2.13123,0.878641,0.216,1
-2.13123,0.878641,-0.216,1
-2.12708,0.838631,0.225,1
-2.12708,0.838631,-0.225,1
-2.12292,0.798621,0.216,1
-2.12292,0.798621,-0.216,1
-2.11911,0.761855,0.189,1
-2.11911,0.761855,-0.189,1
-2.11597,0.731578,0.144,1
-2.11597,0.731578,-0.144,1
-2.11384,0.711032,0.081,1
-2.11384,0.711032,-0.081,1
