x,y,z
240,241,269
240,269,268
241,242,270
241,270,269
242,243,271
242,271,270
243,244,272
243,272,271
244,245,273
244,273,272
245,246,274
245,274,273
246,247,275
246,275,274
247,248,276
247,276,275
248,249,277
248,277,276
249,250,278
249,278,277
250,251,279
250,279,278
251,252,280
251,280,279
252,253,281
252,281,280
253,226,254
253,254,281
254,255,283
254,283,282
255,256,284
255,284,283
256,257,285
256,285,284
257,258,286
257,286,285
258,259,287
258,287,286
259,260,288
259,288,287
260,261,289
260,289,288
261,262,290
261,290,289
262,263,291
262,291,290
263,264,292
263,292,291
264,265,293
264,293,292
265,266,294
265,294,293
266,267,295
266,295,294
267,268,296
267,296,295
268,269,297
268,297,296
269,270,298
269,298,297
270,271,299
270,299,298
271,272,300
271,300,299
272,273,301
272,301,300
273,274,302
273,302,301
274,275,303
274,303,302
275,276,304
275,304,303
276,277,305
276,305,304
277,278,306
277,306,305
278,279,307
278,307,306
279,280,308
279,308,307
280,281,309
280,309,308
281,254,282
281,282,309
282,283,311
282,311,310
283,284,312
283,312,311
284,285,313
284,313,312
285,286,314
285,314,313
286,287,315
286,315,314
287,288,316
287,316,315
288,289,317
288,317,316
289,290,318
289,318,317
290,291,319
290,319,318
291,292,320
291,320,319
292,293,321
292,321,320
293,294,322
293,322,321
294,295,323
294,323,322
295,296,324
295,324,323
296,297,325
296,325,324
297,298,326
297,326,325
298,299,327
298,327,326
299,300,328
299,328,327
300,301,329
300,329,328
301,302,330
301,330,329
302,303,331
302,331,330
303,304,332
303,332,331
304,305,333
304,333,332
305,306,334
305,334,333
306,307,335
306,335,334
307,308,336
307,336,335
308,309,337
308,337,336
309,282,310
309,310,337
310,311,339
310,339,338
311,312,340
311,340,339
312,313,341
312,341,340
313,314,342
313,342,341
314,315,343
314,343,342
315,316,344
315,344,343
316,317,345
316,345,344
317,318,346
317,346,345
318,319,347
318,347,346
319,320,348
319,348,347
320,321,349
320,349,348
321,322,350
321,350,349
322,323,351
322,351,350
323,324,352
323,352,351
324,325,353
324,353,352
325,326,354
325,354,353
326,327,355
326,355,354
327,328,356
327,356,355
328,329,357
328,357,356
329,330,358
329,358,357
330,331,359
330,359,358
331,332,360
331,360,359
332,333,361
332,361,360
333,334,362
333,362,361
334,335,363
334,363,362
335,336,364
335,364,363
336,337,365
336,365,364
337,310,338
337,338,365
338,339,367
338,367,366
339,340,368
339,368,367
340,341,369
340,369,368
341,342,370
341,370,369
342,343,371
342,371,370
343,344,372
343,372,371
344,345,373
344,373,372
345,346,374
345,374,373
346,347,375
346,375,374
347,348,376
347,376,375
348,349,377
348,377,376
349,350,378
349,378,377
350,351,379
350,379,378
351,352,380
351,380,379
352,353,381
352,381,380
353,354,382
353,382,381
354,355,383
354,383,382
355,356,384
355,384,383
356,357,385
356,385,384
357,358,386
357,386,385
358,359,387
358,387,386
359,360,388
359,388,387
360,361,389
360,389,388
361,362,390
361,390,389
362,363,391
362,391,390
