x,y,z
1.154931,1.760472,0.921026
0.921026,1.760472,1.154931
0.640938,1.760472,1.330922
0.328711,1.760472,1.440175
0.000000,1.760472,1.477212
-0.328711,1.760472,1.440175
-0.640938,1.760472,1.330922
-0.921026,1.760472,1.154931
-1.154931,1.760472,0.921026
-1.330922,1.760472,0.640938
-1.440175,1.760472,0.328711
-1.477212,1.760472,0.000000
-1.440175,1.760472,-0.328711
-1.330922,1.760472,-0.640938
-1.154931,1.760472,-0.921026
-0.921026,1.760472,-1.154931
-0.640938,1.760472,-1.330922
-0.328711,1.760472,-1.440175
-0.000000,1.760472,-1.477212
0.328711,1.760472,-1.440175
0.640938,1.760472,-1.330922
0.921026,1.760472,-1.154931
1.154931,1.760472,-0.921026
1.330922,1.760472,-0.640938
1.440175,1.760472,-0.328711
1.500000,1.500000,0.000000
1.462392,1.500000,0.333781
1.351453,1.500000,0.650826
1.172747,1.500000,0.935235
0.935235,1.500000,1.172747
0.650826,1.500000,1.351453
0.333781,1.500000,1.462392
0.000000,1.500000,1.500000
-0.333781,1.500000,1.462392
-0.650826,1.500000,1.351453
-0.935235,1.500000,1.172747
-1.172747,1.500000,0.935235
-1.351453,1.500000,0.650826
-1.462392,1.500000,0.333781
-1.500000,1.500000,0.000000
-1.462392,1.500000,-0.333781
-1.351453,1.500000,-0.650826
-1.172747,1.500000,-0.935235
-0.935235,1.500000,-1.172747
-0.650826,1.500000,-1.351453
-0.333781,1.500000,-1.462392
-0.000000,1.500000,-1.500000
0.333781,1.500000,-1.462392
0.650826,1.500000,-1.351453
0.935235,1.500000,-1.172747
1.172747,1.500000,-0.935235
1.351453,1.500000,-0.650826
1.462392,1.500000,-0.333781
1.477212,1.239528,0.000000
1.440175,1.239528,0.328711
1.330922,1.239528,0.640938
1.154931,1.239528,0.921026
0.921026,1.239528,1.154931
0.640938,1.239528,1.330922
0.328711,1.239528,1.440175
0.000000,1.239528,1.477212
-0.328711,1.239528,1.440175
-0.640938,1.239528,1.330922
-0.921026,1.239528,1.154931
-1.154931,1.239528,0.921026
-1.330922,1.239528,0.640938
-1.440175,1.239528,0.328711
-1.477212,1.239528,0.000000
-1.440175,1.239528,-0.328711
-1.330922,1.239528,-0.640938
-1.154931,1.239528,-0.921026
-0.921026,1.239528,-1.154931
-0.640938,1.239528,-1.330922
-0.328711,1.239528,-1.440175
-0.000000,1.239528,-1.477212
0.328711,1.239528,-1.440175
0.640938,1.239528,-1.330922
0.921026,1.239528,-1.154931
1.154931,1.239528,-0.921026
1.330922,1.239528,-0.640938
1.440175,1.239528,-0.328711
1.409539,0.986970,0.000000
1.374199,0.986970,0.313652
1.269951,0.986970,0.611576
1.102022,0.986970,0.878833
0.878833,0.986970,1.102022
0.611576,0.986970,1.269951
0.313652,0.986970,1.374199
0.000000,0.986970,1.409539
-0.313652,0.986970,1.374199
-0.611576,0.986970,1.269951
-0.878833,0.986970,1.102022
-1.102022,0.986970,0.878833
-1.269951,0.986970,0.611576
-1.374199,0.986970,0.313652
-1.409539,0.986970,0.000000
-1.374199,0.986970,-0.313652
-1.269951,0.986970,-0.611576
-1.102022,0.986970,-0.878833
-0.878833,0.986970,-1.102022
-0.611576,0.986970,-1.269951
-0.313652,0.986970,-1.374199
-0.000000,0.986970,-1.409539
0.313652,0.986970,-1.374199
0.611576,0.986970,-1.269951
0.878833,0.986970,-1.102022
1.102022,0.986970,-0.878833
1.269951,0.986970,-0.611576
1.374199,0.986970,-0.313652
1.299038,0.750000,0.000000
1.266469,0.750000,0.289063
1.170393,0.750000,0.563632
1.015629,0.750000,0.809937
0.809937,0.750000,1.015629
0.563632,0.750000,1.170393
0.289063,0.750000,1.266469
0.000000,0.750000,1.299038
-0.289063,0.750000,1.266469
-0.563632,0.750000,1.170393
-0.809937,0.750000,1.015629
-1.015629,0.750000,0.809937
-1.170393,0.750000,0.563632
-1.266469,0.750000,0.289063
-1.299038,0.750000,0.000000
-1.266469,0.750000,-0.289063
-1.170393,0.750000,-0.563632
-1.015629,0.750000,-0.809937
-0.809937,0.750000,-1.015629
-0.563632,0.750000,-1.170393
-0.289063,0.750000,-1.266469
-0.000000,0.750000,-1.299038
0.289063,0.750000,-1.266469
0.563632,0.750000,-1.170393
0.809937,0.750000,-1.015629
1.015629,0.750000,-0.809937
1.170393,0.750000,-0.563632
1.266469,0.750000,-0.289063
1.149067,0.535819,0.000000
1.120257,0.535819,0.255691
1.035273,0.535819,0.498561
0.898376,0.535819,0.716431
0.716431,0.535819,0.898376
0.498561,0.535819,1.035273
0.255691,0.535819,1.120257
0.000000,0.535819,1.149067
-0.255691,0.535819,1.120257
-0.498561,0.535819,1.035273
-0.716431,0.535819,0.898376
-0.898376,0.535819,0.716431
-1.035273,0.535819,0.498561
-1.120257,0.535819,0.255691
-1.149067,0.535819,0.000000
-1.120257,0.535819,-0.255691
-1.035273,0.535819,-0.498561
-0.898376,0.535819,-0.716431
-0.716431,0.535819,-0.898376
-0.498561,0.535819,-1.035273
-0.255691,0.535819,-1.120257
-0.000000,0.535819,-1.149067
0.255691,0.535819,-1.120257
0.498561,0.535819,-1.035273
0.716431,0.535819,-0.898376
0.898376,0.535819,-0.716431
1.035273,0.535819,-0.498561
1.120257,0.535819,-0.255691
0.964181,0.350933,0.000000
0.940007,0.350933,0.214551
0.868697,0.350933,0.418343
0.753827,0.350933,0.601157
0.601157,0.350933,0.753827
0.418343,0.350933,0.868697
0.214551,0.350933,0.940007
0.000000,0.350933,0.964181
-0.214551,0.350933,0.940007
-0.418343,0.350933,0.868697
-0.601157,0.350933,0.753827
-0.753827,0.350933,0.601157
-0.868697,0.350933,0.418343
-0.940007,0.350933,0.214551
-0.964181,0.350933,0.000000
-0.940007,0.350933,-0.214551
-0.868697,0.350933,-0.418343
-0.753827,0.350933,-0.601157
-0.601157,0.350933,-0.753827
-0.418343,0.350933,-0.868697
-0.214551,0.350933,-0.940007
-0.000000,0.350933,-0.964181
0.214551,0.350933,-0.940007
0.418343,0.350933,-0.868697
0.601157,0.350933,-0.753827
0.753827,0.350933,-0.601157
0.868697,0.350933,-0.418343
0.940007,0.350933,-0.214551
0.750000,0.200962,0.000000
0.731196,0.200962,0.166891
0.675727,0.200962,0.325413
0.586374,0.200962,0.467617
0.467617,0.200962,0.586374
0.325413,0.200962,0.675727
0.166891,0.200962,0.731196
0.000000,0.200962,0.750000
-0.166891,0.200962,0.731196
-0.325413,0.200962,0.675727
-0.467617,0.200962,0.586374
-0.586374,0.200962,0.467617
-0.675727,0.200962,0.325413
-0.731196,0.200962,0.166891
-0.750000,0.200962,0.000000
-0.731196,0.200962,-0.166891
-0.675727,0.200962,-0.325413
-0.586374,0.200962,-0.467617
-0.467617,0.200962,-0.586374
-0.325413,0.200962,-0.675727
-0.166891,0.200962,-0.731196
-0.000000,0.200962,-0.750000
0.166891,0.200962,-0.731196
0.325413,0.200962,-0.675727
0.467617,0.200962,-0.586374
0.586374,0.200962,-0.467617
0.675727,0.200962,-0.325413
0.731196,0.200962,-0.166891
0.513030,0.090461,0.000000
0.500167,0.090461,0.114160
0.462224,0.090461,0.222595
0.401103,0.090461,0.319869
0.319869,0.090461,0.401103
0.222595,0.090461,0.462224
0.114160,0.090461,0.500167
0.000000,0.090461,0.513030
-0.114160,0.090461,0.500167
-0.222595,0.090461,0.462224
-0.319869,0.090461,0.401103
-0.401103,0.090461,0.319869
-0.462224,0.090461,0.222595
-0.500167,0.090461,0.114160
-0.513030,0.090461,0.000000
-0.500167,0.090461,-0.114160
-0.462224,0.090461,-0.222595
-0.401103,0.090461,-0.319869
-0.319869,0.090461,-0.401103
-0.222595,0.090461,-0.462224
-0.114160,0.090461,-0.500167
-0.000000,0.090461,-0.513030
0.114160,0.090461,-0.500167
0.222595,0.090461,-0.462224
0.319869,0.090461,-0.401103
0.401103,0.090461,-0.319869
0.462224,0.090461,-0.222595
0.500167,0.090461,-0.114160
0.260472,0.022788,0.000000
0.253942,0.022788,0.057961
0.234677,0.022788,0.113015
0.203645,0.022788,0.162402
0.162402,0.022788,0.203645
0.113015,0.022788,0.234677
0.057961,0.022788,0.253942
0.000000,0.022788,0.260472
-0.057961,0.022788,0.253942
-0.113015,0.022788,0.234677
-0.162402,0.022788,0.203645
-0.203645,0.022788,0.162402
-0.234677,0.022788,0.113015
-0.253942,0.022788,0.057961
-0.260472,0.022788,0.000000
-0.253942,0.022788,-0.057961
-0.234677,0.022788,-0.113015
-0.203645,0.022788,-0.162402
-0.162402,0.022788,-0.203645
-0.113015,0.022788,-0.234677
-0.057961,0.022788,-0.253942
-0.000000,0.022788,-0.260472
0.057961,0.022788,-0.253942
0.113015,0.022788,-0.234677
0.162402,0.022788,-0.203645
0.203645,0.022788,-0.162402
0.234677,0.022788,-0.113015
0.253942,0.022788,-0.057961
0.000000,0.000000,0.000000
0.000000,2.950000,0.000000
0.000000,3.300000,0.000000
0.950000,2.950000,0.000000
0.917630,2.950000,-0.245878
0.822724,2.950000,-0.475000
0.671751,2.950000,-0.671751
0.475000,2.950000,-0.822724
0.245878,2.950000,-0.917630
0.000000,2.950000,-0.950000
-0.245878,2.950000,-0.917630
-0.475000,2.950000,-0.822724
-0.671751,2.950000,-0.671751
-0.822724,2.950000,-0.475000
-0.917630,2.950000,-0.245878
-0.950000,2.950000,-0.000000
-0.917630,2.950000,0.245878
-0.822724,2.950000,0.475000
-0.671751,2.950000,0.671751
-0.475000,2.950000,0.822724
-0.245878,2.950000,0.917630
-0.000000,2.950000,0.950000
0.245878,2.950000,0.917630
0.475000,2.950000,0.822724
0.671751,2.950000,0.671751
0.822724,2.950000,0.475000
0.917630,2.950000,0.245878
0.750000,3.300000,0.000000
0.724444,3.300000,-0.194114
0.649519,3.300000,-0.375000
0.530330,3.300000,-0.530330
0.375000,3.300000,-0.649519
0.194114,3.300000,-0.724444
0.000000,3.300000,-0.750000
-0.194114,3.300000,-0.724444
-0.375000,3.300000,-0.649519
-0.530330,3.300000,-0.530330
-0.649519,3.300000,-0.375000
-0.724444,3.300000,-0.194114
-0.750000,3.300000,-0.000000
-0.724444,3.300000,0.194114
-0.649519,3.300000,0.375000
-0.530330,3.300000,0.530330
-0.375000,3.300000,0.649519
-0.194114,3.300000,0.724444
-0.000000,3.300000,0.750000
0.194114,3.300000,0.724444
0.375000,3.300000,0.649519
0.530330,3.300000,0.530330
0.649519,3.300000,0.375000
0.724444,3.300000,0.194114
0.000000,3.520000,0.000000
0.065056,3.507060,0.000000
0.056340,3.507060,0.032528
0.032528,3.507060,0.056340
0.000000,3.507060,0.065056
-0.032528,3.507060,0.056340
-0.056340,3.507060,0.032528
-0.065056,3.507060,0.000000
-0.056340,3.507060,-0.032528
-0.032528,3.507060,-0.056340
-0.000000,3.507060,-0.065056
0.032528,3.507060,-0.056340
0.056340,3.507060,-0.032528
0.120208,3.470208,0.000000
0.104103,3.470208,0.060104
0.060104,3.470208,0.104103
0.000000,3.470208,0.120208
-0.060104,3.470208,0.104103
-0.104103,3.470208,0.060104
-0.120208,3.470208,0.000000
-0.104103,3.470208,-0.060104
-0.060104,3.470208,-0.104103
-0.000000,3.470208,-0.120208
0.060104,3.470208,-0.104103
0.104103,3.470208,-0.060104
0.157060,3.415056,0.000000
0.136018,3.415056,0.078530
0.078530,3.415056,0.136018
0.000000,3.415056,0.157060
-0.078530,3.415056,0.136018
-0.136018,3.415056,0.078530
-0.157060,3.415056,0.000000
-0.136018,3.415056,-0.078530
-0.078530,3.415056,-0.136018
-0.000000,3.415056,-0.157060
0.078530,3.415056,-0.136018
0.136018,3.415056,-0.078530
0.170000,3.350000,0.000000
0.147224,3.350000,0.085000
0.085000,3.350000,0.147224
0.000000,3.350000,0.170000
-0.085000,3.350000,0.147224
-0.147224,3.350000,0.085000
-0.170000,3.350000,0.000000
-0.147224,3.350000,-0.085000
-0.085000,3.350000,-0.147224
-0.000000,3.350000,-0.170000
0.085000,3.350000,-0.147224
0.147224,3.350000,-0.085000
0.157060,3.284944,0.000000
0.136018,3.284944,0.078530
0.078530,3.284944,0.136018
0.000000,3.284944,0.157060
-0.078530,3.284944,0.136018
-0.136018,3.284944,0.078530
-0.157060,3.284944,0.000000
-0.136018,3.284944,-0.078530
-0.078530,3.284944,-0.136018
-0.000000,3.284944,-0.157060
0.078530,3.284944,-0.136018
0.136018,3.284944,-0.078530
0.120208,3.229792,0.000000
0.104103,3.229792,0.060104
0.060104,3.229792,0.104103
0.000000,3.229792,0.120208
-0.060104,3.229792,0.104103
-0.104103,3.229792,0.060104
-0.120208,3.229792,0.000000
-0.104103,3.229792,-0.060104
-0.060104,3.229792,-0.104103
-0.000000,3.229792,-0.120208
0.060104,3.229792,-0.104103
0.104103,3.229792,-0.060104
0.065056,3.192940,0.000000
0.056340,3.192940,0.032528
0.032528,3.192940,0.056340
0.000000,3.192940,0.065056
-0.032528,3.192940,0.056340
-0.056340,3.192940,0.032528
-0.065056,3.192940,0.000000
-0.056340,3.192940,-0.032528
-0.032528,3.192940,-0.056340
-0.000000,3.192940,-0.065056
0.032528,3.192940,-0.056340
0.056340,3.192940,-0.032528
0.000000,3.180000,0.000000
-0.750000,4.910000,0.000000
-0.688771,4.897821,0.000000
-0.696974,4.897821,0.030615
-0.719385,4.897821,0.053026
-0.750000,4.897821,0.061229
-0.780615,4.897821,0.053026
-0.803026,4.897821,0.030615
-0.811229,4.897821,0.000000
-0.803026,4.897821,-0.030615
-0.780615,4.897821,-0.053026
-0.750000,4.897821,-0.061229
-0.719385,4.897821,-0.053026
-0.696974,4.897821,-0.030615
-0.636863,4.863137,0.000000
-0.652020,4.863137,0.056569
-0.693431,4.863137,0.097980
-0.750000,4.863137,0.113137
-0.806569,4.863137,0.097980
-0.847980,4.863137,0.056569
-0.863137,4.863137,0.000000
-0.847980,4.863137,-0.056569
-0.806569,4.863137,-0.097980
-0.750000,4.863137,-0.113137
-0.693431,4.863137,-0.097980
-0.652020,4.863137,-0.056569
-0.602179,4.811229,0.000000
-0.621983,4.811229,0.073910
-0.676090,4.811229,0.128017
-0.750000,4.811229,0.147821
-0.823910,4.811229,0.128017
-0.878017,4.811229,0.073910
-0.897821,4.811229,0.000000
-0.878017,4.811229,-0.073910
-0.823910,4.811229,-0.128017
-0.750000,4.811229,-0.147821
-0.676090,4.811229,-0.128017
-0.621983,4.811229,-0.073910
-0.590000,4.750000,0.000000
-0.611436,4.750000,0.080000
-0.670000,4.750000,0.138564
-0.750000,4.750000,0.160000
-0.830000,4.750000,0.138564
-0.888564,4.750000,0.080000
-0.910000,4.750000,0.000000
-0.888564,4.750000,-0.080000
-0.830000,4.750000,-0.138564
-0.750000,4.750000,-0.160000
-0.670000,4.750000,-0.138564
-0.611436,4.750000,-0.080000
-0.602179,4.688771,0.000000
-0.621983,4.688771,0.073910
-0.676090,4.688771,0.128017
-0.750000,4.688771,0.147821
-0.823910,4.688771,0.128017
-0.878017,4.688771,0.073910
-0.897821,4.688771,0.000000
-0.878017,4.688771,-0.073910
-0.823910,4.688771,-0.128017
-0.750000,4.688771,-0.147821
-0.676090,4.688771,-0.128017
-0.621983,4.688771,-0.073910
-0.636863,4.636863,0.000000
-0.652020,4.636863,0.056569
-0.693431,4.636863,0.097980
-0.750000,4.636863,0.113137
-0.806569,4.636863,0.097980
-0.847980,4.636863,0.056569
-0.863137,4.636863,0.000000
-0.847980,4.636863,-0.056569
-0.806569,4.636863,-0.097980
-0.750000,4.636863,-0.113137
-0.693431,4.636863,-0.097980
-0.652020,4.636863,-0.056569
-0.688771,4.602179,0.000000
-0.696974,4.602179,0.030615
-0.719385,4.602179,0.053026
-0.750000,4.602179,0.061229
-0.780615,4.602179,0.053026
-0.803026,4.602179,0.030615
-0.811229,4.602179,0.000000
-0.803026,4.602179,-0.030615
-0.780615,4.602179,-0.053026
-0.750000,4.602179,-0.061229
-0.719385,4.602179,-0.053026
-0.696974,4.602179,-0.030615
-0.750000,4.590000,0.000000
0.650000,5.710000,0.000000
0.711229,5.697821,0.000000
0.703026,5.697821,0.030615
0.680615,5.697821,0.053026
0.650000,5.697821,0.061229
0.619385,5.697821,0.053026
0.596974,5.697821,0.030615
0.588771,5.697821,0.000000
0.596974,5.697821,-0.030615
0.619385,5.697821,-0.053026
0.650000,5.697821,-0.061229
0.680615,5.697821,-0.053026
0.703026,5.697821,-0.030615
0.763137,5.663137,0.000000
0.747980,5.663137,0.056569
0.706569,5.663137,0.097980
0.650000,5.663137,0.113137
0.593431,5.663137,0.097980
0.552020,5.663137,0.056569
0.536863,5.663137,0.000000
0.552020,5.663137,-0.056569
