id,x,y,z
184,0.908816,-0.707107,1.184392
185,1.034894,-0.866025,1.348701
186,1.181716,-0.965926,1.540042
187,1.339275,-1.000000,1.745377
188,1.496834,-0.965926,1.950712
189,1.643656,-0.866025,2.142054
190,1.769734,-0.707107,2.306363
191,1.866478,-0.500000,2.432441
192,1.927294,-0.258819,2.511698
193,1.600000,0.000000,2.771281
194,1.582963,0.258819,2.741772
195,1.533013,0.500000,2.655256
196,1.453553,0.707107,2.517628
197,1.350000,0.866025,2.338269
198,1.229410,0.965926,2.129400
199,1.100000,1.000000,1.905256
200,0.970590,0.965926,1.681112
201,0.850000,0.866025,1.472243
202,0.746447,0.707107,1.292883
203,0.666987,0.500000,1.155256
204,0.617037,0.258819,1.068740
205,0.600000,0.000000,1.039230
206,0.617037,-0.258819,1.068740
207,0.666987,-0.500000,1.155256
208,0.746447,-0.707107,1.292883
209,0.850000,-0.866025,1.472243
210,0.970590,-0.965926,1.681112
211,1.100000,-1.000000,1.905256
212,1.229410,-0.965926,2.129400
213,1.350000,-0.866025,2.338269
214,1.453553,-0.707107,2.517628
215,1.533013,-0.500000,2.655256
216,1.582963,-0.258819,2.741772
217,1.224587,0.000000,2.956415
218,1.211547,0.258819,2.924934
219,1.173317,0.500000,2.832638
220,1.112502,0.707107,2.685816
221,1.033245,0.866025,2.494475
222,0.940949,0.965926,2.271653
223,0.841904,1.000000,2.032535
224,0.742858,0.965926,1.793417
225,0.650562,0.866025,1.570595
226,0.571306,0.707107,1.379253
227,0.510490,0.500000,1.232432
228,0.472260,0.258819,1.140136
229,0.459220,0.000000,1.108655
230,0.472260,-0.258819,1.140136
231,0.510490,-0.500000,1.232432
232,0.571306,-0.707107,1.379253
233,0.650562,-0.866025,1.570595
234,0.742858,-0.965926,1.793417
235,0.841904,-1.000000,2.032535
236,0.940949,-0.965926,2.271653
237,1.033245,-0.866025,2.494475
238,1.112502,-0.707107,2.685816
239,1.173317,-0.500000,2.832638
240,1.211547,-0.258819,2.924934
241,0.828221,0.000000,3.090963
242,0.819402,0.258819,3.058050
243,0.793546,0.500000,2.961553
244,0.752415,0.707107,2.808050
245,0.698811,0.866025,2.608000
246,0.636389,0.965926,2.375037
247,0.569402,1.000000,2.125037
248,0.502415,0.965926,1.875037
249,0.439992,0.866025,1.642074
250,0.386389,0.707107,1.442024
251,0.345258,0.500000,1.288521
252,0.319402,0.258819,1.192024
253,0.310583,0.000000,1.159111
254,0.319402,-0.258819,1.192024
255,0.345258,-0.500000,1.288521
256,0.386389,-0.707107,1.442024
257,0.439992,-0.866025,1.642074
258,0.502415,-0.965926,1.875037
259,0.569402,-1.000000,2.125037
260,0.636389,-0.965926,2.375037
261,0.698811,-0.866025,2.608000
262,0.752415,-0.707107,2.808050
263,0.793546,-0.500000,2.961553
264,0.819402,-0.258819,3.058050
265,0.417684,0.000000,3.172624
266,0.413236,0.258819,3.138841
267,0.400197,0.500000,3.039795
268,0.379454,0.707107,2.882236
269,0.352421,0.866025,2.676901
270,0.320940,0.965926,2.437784
271,0.287158,1.000000,2.181179
272,0.253375,0.965926,1.924574
273,0.221895,0.866025,1.685456
274,0.194862,0.707107,1.480121
275,0.174119,0.500000,1.322562
276,0.161079,0.258819,1.223516
277,0.156631,0.000000,1.189734
278,0.161079,-0.258819,1.223516
279,0.174119,-0.500000,1.322562
280,0.194862,-0.707107,1.480121
281,0.221895,-0.866025,1.685456
282,0.253375,-0.965926,1.924574
283,0.287158,-1.000000,2.181179
284,0.320940,-0.965926,2.437784
285,0.352421,-0.866025,2.676901
286,0.379454,-0.707107,2.882236
287,0.400197,-0.500000,3.039795
288,0.413236,-0.258819,3.138841
289,0.000000,0.000000,3.200000
290,0.000000,0.258819,3.165926
291,0.000000,0.500000,3.066025
292,0.000000,0.707107,2.907107
293,0.000000,0.866025,2.700000
294,0.000000,0.965926,2.458819
295,0.000000,1.000000,2.200000
296,0.000000,0.965926,1.941181
297,0.000000,0.866025,1.700000
298,0.000000,0.707107,1.492893
299,0.000000,0.500000,1.333975
300,0.000000,0.258819,1.234074
301,0.000000,0.000000,1.200000
302,0.000000,-0.258819,1.234074
303,0.000000,-0.500000,1.333975
304,0.000000,-0.707107,1.492893
305,0.000000,-0.866025,1.700000
306,0.000000,-0.965926,1.941181
307,0.000000,-1.000000,2.200000
308,0.000000,-0.965926,2.458819
309,0.000000,-0.866025,2.700000
310,0.000000,-0.707107,2.907107
311,0.000000,-0.500000,3.066025
312,0.000000,-0.258819,3.165926
313,-0.417684,0.000000,3.172624
314,-0.413236,0.258819,3.138841
315,-0.400197,0.500000,3.039795
316,-0.379454,0.707107,2.882236
317,-0.352421,0.866025,2.676901
318,-0.320940,0.965926,2.437784
319,-0.287158,1.000000,2.181179
320,-0.253375,0.965926,1.924574
321,-0.221895,0.866025,1.685456
322,-0.194862,0.707107,1.480121
323,-0.174119,0.500000,1.322562
324,-0.161079,0.258819,1.223516
325,-0.156631,0.000000,1.189734
326,-0.161079,-0.258819,1.223516
327,-0.174119,-0.500000,1.322562
328,-0.194862,-0.707107,1.480121
329,-0.221895,-0.866025,1.685456
330,-0.253375,-0.965926,1.924574
331,-0.287158,-1.000000,2.181179
332,-0.320940,-0.965926,2.437784
333,-0.352421,-0.866025,2.676901
334,-0.379454,-0.707107,2.882236
335,-0.400197,-0.500000,3.039795
336,-0.413236,-0.258819,3.138841
337,-0.828221,0.000000,3.090963
338,-0.819402,0.258819,3.058050
339,-0.793546,0.500000,2.961553
340,-0.752415,0.707107,2.808050
341,-0.698811,0.866025,2.608000
342,-0.636389,0.965926,2.375037
343,-0.569402,1.000000,2.125037
344,-0.502415,0.965926,1.875037
345,-0.439992,0.866025,1.642074
346,-0.386389,0.707107,1.442024
347,-0.345258,0.500000,1.288521
348,-0.319402,0.258819,1.192024
349,-0.310583,0.000000,1.159111
350,-0.319402,-0.258819,1.192024
351,-0.345258,-0.500000,1.288521
352,-0.386389,-0.707107,1.442024
353,-0.439992,-0.866025,1.642074
354,-0.502415,-0.965926,1.875037
355,-0.569402,-1.000000,2.125037
356,-0.636389,-0.965926,2.375037
357,-0.698811,-0.866025,2.608000
358,-0.752415,-0.707107,2.808050
359,-0.793546,-0.500000,2.961553
360,-0.819402,-0.258819,3.058050
361,-1.224587,0.000000,2.956415
362,-1.211547,0.258819,2.924934
363,-1.173317,0.500000,2.832638
364,-1.112502,0.707107,2.685816
365,-1.033245,0.866025,2.494475
366,-0.940949,0.965926,2.271653
367,-0.841904,1.000000,2.032535
368,-0.742858,0.965926,1.793417
369,-0.650562,0.866025,1.570595
370,-0.571306,0.707107,1.379253
371,-0.510490,0.500000,1.232432
372,-0.472260,0.258819,1.140136
373,-0.459220,0.000000,1.108655
374,-0.472260,-0.258819,1.140136
375,-0.510490,-0.500000,1.232432
376,-0.571306,-0.707107,1.379253
377,-0.650562,-0.866025,1.570595
378,-0.742858,-0.965926,1.793417
379,-0.841904,-1.000000,2.032535
380,-0.940949,-0.965926,2.271653
381,-1.033245,-0.866025,2.494475
382,-1.112502,-0.707107,2.685816
383,-1.173317,-0.500000,2.832638
384,-1.211547,-0.258819,2.924934
385,-1.600000,0.000000,2.771281
386,-1.582963,0.258819,2.741772
387,-1.533013,0.500000,2.655256
388,-1.453553,0.707107,2.517628
389,-1.350000,0.866025,2.338269
390,-1.229410,0.965926,2.129400
391,-1.100000,1.000000,1.905256
392,-0.970590,0.965926,1.681112
393,-0.850000,0.866025,1.472243
394,-0.746447,0.707107,1.292883
395,-0.666987,0.500000,1.155256
396,-0.617037,0.258819,1.068740
397,-0.600000,0.000000,1.039230
398,-0.617037,-0.258819,1.068740
399,-0.666987,-0.500000,1.155256
400,-0.746447,-0.707107,1.292883
401,-0.850000,-0.866025,1.472243
402,-0.970590,-0.965926,1.681112
403,-1.100000,-1.000000,1.905256
404,-1.229410,-0.965926,2.129400
405,-1.350000,-0.866025,2.338269
406,-1.453553,-0.707107,2.517628
407,-1.533013,-0.500000,2.655256
408,-1.582963,-0.258819,2.741772
409,-1.948037,0.000000,2.538731
410,-1.927294,0.258819,2.511698
411,-1.866478,0.500000,2.432441
412,-1.769734,0.707107,2.306363
413,-1.643656,0.866025,2.142054
414,-1.496834,0.965926,1.950712
415,-1.339275,1.000000,1.745377
416,-1.181716,0.965926,1.540042
417,-1.034894,0.866025,1.348701
418,-0.908816,0.707107,1.184392
419,-0.812072,0.500000,1.058313
420,-0.751257,0.258819,0.979057
421,-0.730514,0.000000,0.952024
422,-0.751257,-0.258819,0.979057
423,-0.812072,-0.500000,1.058313
424,-0.908816,-0.707107,1.184392
425,-1.034894,-0.866025,1.348701
426,-1.181716,-0.965926,1.540042
427,-1.339275,-1.000000,1.745377
428,-1.496834,-0.965926,1.950712
429,-1.643656,-0.866025,2.142054
430,-1.769734,-0.707107,2.306363
431,-1.866478,-0.500000,2.432441
432,-1.927294,-0.258819,2.511698
433,-2.262742,0.000000,2.262742
434,-2.238648,0.258819,2.238648
435,-2.168007,0.500000,2.168007
436,-2.055635,0.707107,2.055635
437,-1.909188,0.866025,1.909188
438,-1.738648,0.965926,1.738648
439,-1.555635,1.000000,1.555635
440,-1.372622,0.965926,1.372622
441,-1.202082,0.866025,1.202082
442,-1.055635,0.707107,1.055635
443,-0.943262,0.500000,0.943262
444,-0.872622,0.258819,0.872622
445,-0.848528,0.000000,0.848528
446,-0.872622,-0.258819,0.872622
447,-0.943262,-0.500000,0.943262
448,-1.055635,-0.707107,1.055635
449,-1.202082,-0.866025,1.202082
450,-1.372622,-0.965926,1.372622
451,-1.555635,-1.000000,1.555635
452,-1.738648,-0.965926,1.738648
453,-1.909188,-0.866025,1.909188
454,-2.055635,-0.707107,2.055635
455,-2.168007,-0.500000,2.168007
456,-2.238648,-0.258819,2.238648
457,-2.538731,0.000000,1.948037
458,-2.511698,0.258819,1.927294
459,-2.432441,0.500000,1.866478
460,-2.306363,0.707107,1.769734
461,-2.142054,0.866025,1.643656
462,-1.950712,0.965926,1.496834
463,-1.745377,1.000000,1.339275
464,-1.540042,0.965926,1.181716
465,-1.348701,0.866025,1.034894
466,-1.184392,0.707107,0.908816
467,-1.058313,0.500000,0.812072
468,-0.979057,0.258819,0.751257
469,-0.952024,0.000000,0.730514
470,-0.979057,-0.258819,0.751257
471,-1.058313,-0.500000,0.812072
472,-1.184392,-0.707107,0.908816
473,-1.348701,-0.866025,1.034894
474,-1.540042,-0.965926,1.181716
475,-1.745377,-1.000000,1.339275
476,-1.950712,-0.965926,1.496834
477,-2.142054,-0.866025,1.643656
478,-2.306363,-0.707107,1.769734
479,-2.432441,-0.500000,1.866478
480,-2.511698,-0.258819,1.927294
481,-2.771281,0.000000,1.600000
482,-2.741772,0.258819,1.582963
483,-2.655256,0.500000,1.533013
484,-2.517628,0.707107,1.453553
485,-2.338269,0.866025,1.350000
486,-2.129400,0.965926,1.229410
487,-1.905256,1.000000,1.100000
488,-1.681112,0.965926,0.970590
489,-1.472243,0.866025,0.850000
490,-1.292883,0.707107,0.746447
491,-1.155256,0.500000,0.666987
492,-1.068740,0.258819,0.617037
493,-1.039230,0.000000,0.600000
494,-1.068740,-0.258819,0.617037
495,-1.155256,-0.500000,0.666987
496,-1.292883,-0.707107,0.746447
497,-1.472243,-0.866025,0.850000
498,-1.681112,-0.965926,0.970590
499,-1.905256,-1.000000,1.100000
500,-2.129400,-0.965926,1.229410
501,-2.338269,-0.866025,1.350000
502,-2.517628,-0.707107,1.453553
503,-2.655256,-0.500000,1.533013
504,-2.741772,-0.258819,1.582963
505,-2.956415,0.000000,1.224587
506,-2.924934,0.258819,1.211547
507,-2.832638,0.500000,1.173317
508,-2.685816,0.707107,1.112502
509,-2.494475,0.866025,1.033245
510,-2.271653,0.965926,0.940949
511,-2.032535,1.000000,0.841904
512,-1.793417,0.965926,0.742858
513,-1.570595,0.866025,0.650562
514,-1.379253,0.707107,0.571306
515,-1.232432,0.500000,0.510490
516,-1.140136,0.258819,0.472260
517,-1.108655,0.000000,0.459220
518,-1.140136,-0.258819,0.472260
519,-1.232432,-0.500000,0.510490
520,-1.379253,-0.707107,0.571306
521,-1.570595,-0.866025,0.650562
522,-1.793417,-0.965926,0.742858
523,-2.032535,-1.000000,0.841904
524,-2.271653,-0.965926,0.940949
525,-2.494475,-0.866025,1.033245
526,-2.685816,-0.707107,1.112502
527,-2.832638,-0.500000,1.173317
528,-2.924934,-0.258819,1.211547
529,-3.090963,0.000000,0.828221
530,-3.058050,0.258819,0.819402
531,-2.961553,0.500000,0.793546
532,-2.808050,0.707107,0.752415
533,-2.608000,0.866025,0.698811
534,-2.375037,0.965926,0.636389
535,-2.125037,1.000000,0.569402
536,-1.875037,0.965926,0.502415
537,-1.642074,0.866025,0.439992
538,-1.442024,0.707107,0.386389
539,-1.288521,0.500000,0.345258
540,-1.192024,0.258819,0.319402
541,-1.159111,0.000000,0.310583
542,-1.192024,-0.258819,0.319402
543,-1.288521,-0.500000,0.345258
544,-1.442024,-0.707107,0.386389
545,-1.642074,-0.866025,0.439992
546,-1.875037,-0.965926,0.502415
547,-2.125037,-1.000000,0.569402
548,-2.375037,-0.965926,0.636389
549,-2.608000,-0.866025,0.698811
550,-2.808050,-0.707107,0.752415
551,-2.961553,-0.500000,0.793546
552,-3.058050,-0.258819,0.819402
553,-3.172624,0.000000,0.417684
554,-3.138841,0.258819,0.413236
555,-3.039795,0.500000,0.400197
556,-2.882236,0.707107,0.379454
557,-2.676901,0.866025,0.352421
558,-2.437784,0.965926,0.320940
559,-2.181179,1.000000,0.287158
560,-1.924574,0.965926,0.253375
561,-1.685456,0.866025,0.221895
562,-1.480121,0.707107,0.194862
563,-1.322562,0.500000,0.174119
564,-1.223516,0.258819,0.161079
565,-1.189734,0.000000,0.156631
566,-1.223516,-0.258819,0.161079
567,-1.322562,-0.500000,0.174119
568,-1.480121,-0.707107,0.194862
569,-1.685456,-0.866025,0.221895
570,-1.924574,-0.965926,0.253375
571,-2.181179,-1.000000,0.287158
572,-2.437784,-0.965926,0.320940
573,-2.676901,-0.866025,0.352421
574,-2.882236,-0.707107,0.379454
575,-3.039795,-0.500000,0.400197
576,-3.138841,-0.258819,0.413236
577,-3.200000,0.000000,0.000000
578,-3.165926,0.258819,0.000000
579,-3.066025,0.500000,0.000000
580,-2.907107,0.707107,0.000000
581,-2.700000,0.866025,0.000000
582,-2.458819,0.965926,0.000000
583,-2.200000,1.000000,0.000000
584,-1.941181,0.965926,0.000000
585,-1.700000,0.866025,0.000000
586,-1.492893,0.707107,0.000000
587,-1.333975,0.500000,0.000000
588,-1.234074,0.258819,0.000000
589,-1.200000,0.000000,0.000000
590,-1.234074,-0.258819,0.000000
